           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-09-18T01:26:57Z           0           0            0             0(�)       0(0)             0             0        28226         83008            0          -1           0
2014-09-18T01:26:57Z CRAWL RUNNING - Preparing
2014-09-18T01:26:57Z           1           1            0             0(0)       0(0)             0             0        46165         83008            ∞           1           1
2014-09-18T01:26:57Z CRAWL PAUSED - Paused
2014-09-18T01:26:57Z CRAWL RUNNING - Running
2014-09-18T01:27:17Z         131         126            5       0.25(0.25)       3(3)             0             2        79749        126912            1         122          31
2014-09-18T01:27:37Z         187         177           10       0.25(0.25)       4(3)             0             0        88710        126912            1         173          59
2014-09-18T01:27:57Z         187         173           14        0.2(0.23)       3(3)             0             0        92260        126912            1         169          57
2014-09-18T01:28:17Z         187         169           18        0.2(0.23)       4(3)             0             1        87849        126912            1         165          56
2014-09-18T01:28:37Z         308         286           22        0.2(0.22)       5(4)             0             1       102793        126912            1         282          95
2014-09-18T01:28:57Z         316         290           26        0.2(0.22)       5(4)             0             1        97221        126912            1         286          96
2014-09-18T01:29:17Z         463         434           29       0.15(0.21)       7(4)             0             0       107956        126912            1         430         144
2014-09-18T01:29:37Z         540         509           31        0.1(0.19)       8(5)             0             0       102637        126912            1         505         169
2014-09-18T01:29:57Z         627         593           34       0.15(0.19)       4(5)             0             0        95494        126912            1         589         197
2014-09-18T01:30:17Z         707         671           36        0.1(0.18)       8(5)             0             0        92301        126912            1         667         223
2014-09-18T01:30:37Z         782         743           39       0.15(0.18)       7(5)             0             0       105400        126912            1         739         247
2014-09-18T01:30:57Z         829         787           42       0.15(0.18)       5(5)             0             0       106487        126912            1         783         262
2014-09-18T01:31:17Z         866         823           43       0.05(0.17)       4(5)             0             0       115813        126912            1         819         274
2014-09-18T01:31:37Z         899         853           46       0.15(0.16)       5(5)             0             1        91309        126912            1         849         284
2014-09-18T01:31:57Z         973         925           48        0.1(0.16)       3(5)             0             1       101640        126912            1         921         308
2014-09-18T01:32:17Z        1075        1025           50        0.1(0.16)       5(5)             0             0       110260        126912            1        1021         341
2014-09-18T01:32:37Z        1166        1115           51       0.05(0.15)       3(5)             0             1       108612        126912            1        1111         371
2014-09-18T01:32:57Z        1203        1150           53        0.1(0.15)       6(5)             0             0        93034        126912            1        1146         383
2014-09-18T01:33:17Z        1303        1248           55        0.1(0.14)       4(5)             0             0       110406        126912            1        1244         416
2014-09-18T01:33:37Z        1376        1319           57        0.1(0.14)       4(5)             0             0       111450        126912            1        1315         439
2014-09-18T01:33:57Z        1473        1414           59        0.1(0.14)       3(5)             0             0        91244        126912            1        1410         471
2014-09-18T01:34:17Z        1497        1436           61        0.1(0.14)       2(5)             0             0        95777        126912            1        1432         478
2014-09-18T01:34:37Z        1522        1459           63        0.1(0.14)       5(5)             0             1       104659        126912            1        1455         486
2014-09-18T01:34:57Z        1559        1494           65        0.1(0.14)       5(5)             0             1       104052        126912            1        1490         498
2014-09-18T01:35:17Z        1559        1491           68       0.15(0.14)       5(5)             0             0       101679        126912            1        1487         497
2014-09-18T01:35:37Z        1604        1533           71       0.15(0.14)       4(5)             0             0        92570        126912            1        1529         511
2014-09-18T01:35:57Z        1604        1531           73        0.1(0.14)       4(5)             0             1       103418        126912            1        1527         510
2014-09-18T01:36:17Z        1684        1609           75        0.1(0.13)       4(5)             0             1       112187        126912            1        1605         536
2014-09-18T01:36:37Z        1703        1626           77        0.1(0.13)       3(5)             0             0       105173        126912            1        1622         542
2014-09-18T01:36:57Z        1802        1724           78       0.05(0.13)       2(5)             0             0        91901        126912            1        1720         574
2014-09-18T01:37:17Z        1823        1744           79       0.05(0.13)       1(4)             0             1       100151        126912            1        1740         581
2014-09-18T01:37:37Z        1858        1778           80       0.05(0.13)       4(4)             0             0       103260        126912            1        1774         592
2014-09-18T01:37:57Z        1858        1777           81       0.05(0.12)       1(4)             0             0       113216        126912            1        1773         592
2014-09-18T01:38:17Z        1858        1777           81          0(0.12)       0(4)             0             1       114271        126912            1        1773         592
2014-09-18T01:38:37Z        1894        1812           82       0.05(0.12)       4(4)             0             0        95858        126912            1        1808         604
2014-09-18T01:38:57Z        1894        1811           83       0.05(0.12)       1(4)             0             1        94961        126912            1        1807         603
2014-09-18T01:39:17Z        1934        1849           85        0.1(0.11)       6(4)             0             0        98553        126912            1        1845         616
2014-09-18T01:39:37Z        1952        1865           87        0.1(0.11)       2(4)             0             0        97228        126912            1        1861         621
2014-09-18T01:39:57Z        1965        1875           90       0.15(0.12)       3(4)             0             1       114174        126912            1        1871         625
2014-09-18T01:40:17Z        2014        1922           92        0.1(0.12)       5(4)             0             1       113855        126912            1        1918         640
2014-09-18T01:40:37Z        2097        2004           93       0.05(0.11)       2(4)             0             0       111308        126912            1        2000         668
2014-09-18T01:40:57Z        2129        2035           94       0.05(0.11)       4(4)             0             1        94090        126912            1        2031         678
2014-09-18T01:41:17Z        2129        2033           96        0.1(0.11)       2(4)             0             1       109077        126912            1        2029         677
2014-09-18T01:41:37Z        2129        2031           98        0.1(0.11)       2(4)             0             1       104394        126912            1        2027         677
2014-09-18T01:53:29Z        2129        2030           99          0(0.06)       0(2)             0             0       111864        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111875        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          0(0.06)       0(2)             0             0       111885        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111898        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          0(0.06)       0(2)             0             0       111907        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111920        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111930        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          0(0.06)       0(2)             0             0       111942        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111953        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111964        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          0(0.06)       0(2)             0             0       111975        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111985        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       111997        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          0(0.06)       0(2)             0             0       112008        126912            1        2026         676
2014-09-18T01:53:29Z        2129        2030           99          �(0.06)       0(2)             0             0       112019        126912            1        2026         676
