           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-08-27T03:24:15Z           0           0            0             0(�)       0(0)             0             0        22123         83008            0          -1           0
2014-08-27T03:24:15Z CRAWL RUNNING - Preparing
2014-08-27T03:24:15Z           1           1            0             0(0)       0(0)             0             0        45943         83008            ∞           1           1
2014-08-27T03:24:15Z CRAWL PAUSED - Paused
2014-08-27T03:24:15Z CRAWL RUNNING - Running
2014-08-27T03:24:35Z           3           1            2         0.1(0.1)       0(0)             0             1        78201        126912            1           1           1
2014-08-27T03:24:55Z         133         130            3       0.05(0.08)       2(1)             0             1        84499        126912            1         130         130
2014-08-27T03:25:15Z         133         130            3          0(0.05)       0(0)             0             1        75792        126912            1         130         130
2014-08-27T03:25:35Z         135         131            4       0.05(0.05)       1(0)             0             0        83164        126912            1         131         131
2014-08-27T03:25:55Z         135         130            5       0.05(0.05)       0(0)             0             0        79723        126912            1         130         130
2014-08-27T03:26:15Z         135         129            6       0.05(0.05)       0(0)             0             0        92037        126912            1         129         129
2014-08-27T03:26:35Z         135         127            8        0.1(0.06)       1(1)             0             1        82831        126912            1         127         127
2014-08-27T03:26:55Z         135         125           10        0.1(0.06)       2(1)             0             0        90353        126912            1         125         125
2014-08-27T03:27:15Z         135         123           12        0.1(0.07)       1(1)             0             0        81465        126912            1         123         123
2014-08-27T03:27:35Z         135         121           14        0.1(0.07)       1(1)             0             1        90348        126912            1         121         121
2014-08-27T03:27:55Z         135         119           16        0.1(0.07)       1(1)             0             0        86987        126912            1         119         119
2014-08-27T03:28:15Z         135         119           16          0(0.07)       0(1)             0             0        88040        126912            1         119         119
2014-08-27T03:28:35Z         135         117           18        0.1(0.07)       1(1)             0             0        81656        126912            1         117         117
2014-08-27T03:28:55Z         135         116           19       0.05(0.07)       0(1)             0             0        94363        126912            1         116         116
2014-08-27T03:29:15Z         135         115           20       0.05(0.07)       0(1)             0             0        90383        126912            1         115         115
2014-08-27T03:29:35Z         135         113           22        0.1(0.07)       1(1)             0             0        82493        126912            1         113         113
2014-08-27T03:29:55Z         135         111           24        0.1(0.07)       1(1)             0             0        91049        126912            1         111         111
2014-08-27T03:30:15Z         135         109           26        0.1(0.07)       1(1)             0             0        83312        126912            1         109         109
2014-08-27T03:30:35Z         135         107           28        0.1(0.07)       1(1)             0             0        91856        126912            1         107         107
2014-08-27T03:30:55Z         135         106           29       0.05(0.07)       0(1)             0             0        88951        126912            1         106         106
2014-08-27T03:31:15Z         135         105           30       0.05(0.07)       0(1)             0             1        88067        126912            1         105         105
2014-08-27T03:31:35Z         135         104           31       0.05(0.07)       0(1)             0             1        84807        126912            1         104         104
2014-08-27T03:31:55Z         135         102           33        0.1(0.07)       1(1)             0             0        95162        126912            1         102         102
2014-08-27T03:32:15Z         135         101           34       0.05(0.07)       0(1)             0             0        92296        126912            1         101         101
2014-08-27T03:32:35Z         135         100           35       0.05(0.07)       0(1)             0             0        90535        126912            1         100         100
2014-08-27T03:32:55Z         135          98           37        0.1(0.07)       1(1)             0             1        86196        126912            1          98          98
2014-08-27T03:33:15Z         135          96           39        0.1(0.07)       1(1)             0             0        94392        126912            1          96          96
2014-08-27T03:33:35Z         135          95           40       0.05(0.07)       0(1)             0             0        91926        126912            1          95          95
2014-08-27T03:33:55Z         135          94           41       0.05(0.07)       0(1)             0             0        89405        126912            1          94          94
2014-08-27T03:34:15Z         135          94           41          0(0.07)       0(1)             0             1        90319        126912            1          94          94
2014-08-27T03:34:35Z         135          94           41          0(0.07)       0(1)             0             1        93491        126912            1          94          94
2014-08-27T03:34:55Z         135          94           41          0(0.06)       0(1)             0             1        95894        126912            1          94          94
2014-08-27T03:35:15Z         135          93           42       0.05(0.06)       1(1)             0             0        88671        126912            1          93          93
2014-08-27T03:35:35Z         135          93           42          0(0.06)       0(1)             0             1        89560        126912            1          93          93
2014-08-27T03:35:55Z         135          93           42          0(0.06)       0(1)             0             1        91662        126912            1          93          93
2014-08-27T03:36:15Z         135          93           42          0(0.06)       0(1)             0             1        93465        126912            1          93          93
2014-08-27T03:36:35Z         135          93           42          0(0.06)       0(1)             0             1        95902        126912            1          93          93
2014-08-27T03:36:55Z         135          93           42          0(0.06)       0(1)             0             1        96732        126912            1          93          93
2014-08-27T03:37:15Z         135          93           42          0(0.05)       0(1)             0             1        98533        126912            1          93          93
2014-08-27T03:37:35Z         135          93           42          0(0.05)       0(1)             0             1        99405        126912            1          93          93
2014-08-27T03:37:55Z         135          93           42          0(0.05)       0(1)             0             1       100188        126912            1          93          93
2014-08-27T03:38:15Z         135          93           42          0(0.05)       0(0)             0             1       101010        126912            1          93          93
2014-08-27T03:38:35Z         135          93           42          0(0.05)       0(0)             0             1       101897        126912            1          93          93
2014-08-27T03:38:55Z         135          93           42          0(0.05)       0(0)             0             1       102682        126912            1          93          93
2014-08-27T03:39:15Z         135          93           42          0(0.05)       0(0)             0             1        87492        126912            1          93          93
2014-08-27T03:39:35Z         135          93           42          0(0.05)       0(0)             0             1        88279        126912            1          93          93
2014-08-27T03:39:55Z         135          93           42          0(0.04)       0(0)             0             1        89133        126912            1          93          93
2014-08-27T03:40:15Z         135          93           42          0(0.04)       0(0)             0             1        89945        126912            1          93          93
2014-08-27T03:40:35Z         135          93           42          0(0.04)       0(0)             0             1        90874        126912            1          93          93
2014-08-27T03:40:55Z         135          93           42          0(0.04)       0(0)             0             1        91667        126912            1          93          93
2014-08-27T03:41:15Z         135          93           42          0(0.04)       0(0)             0             1        92553        126912            1          93          93
2014-08-27T03:41:35Z         135          93           42          0(0.04)       0(0)             0             1        93334        126912            1          93          93
2014-08-27T03:41:55Z         135          93           42          0(0.04)       0(0)             0             1        94194        126912            1          93          93
2014-08-27T03:42:15Z         135          93           42          0(0.04)       0(0)             0             1        94946        126912            1          93          93
2014-08-27T03:42:35Z         135          93           42          0(0.04)       0(0)             0             1        95802        126912            1          93          93
2014-08-27T03:42:55Z         135          93           42          0(0.04)       0(0)             0             1        96588        126912            1          93          93
2014-08-27T03:43:15Z         135          93           42          0(0.04)       0(0)             0             1        97416        126912            1          93          93
2014-08-27T03:43:35Z         135          93           42          0(0.04)       0(0)             0             1        98208        126912            1          93          93
2014-08-27T03:43:55Z         135          93           42          0(0.04)       0(0)             0             1        98988        126912            1          93          93
2014-08-27T03:44:15Z         135          93           42          0(0.04)       0(0)             0             1        99820        126912            1          93          93
2014-08-27T03:44:35Z         135          93           42          0(0.03)       0(0)             0             1       100609        126912            1          93          93
2014-08-27T03:44:55Z         135          93           42          0(0.03)       0(0)             0             1       101464        126912            1          93          93
2014-08-27T03:45:15Z         135          93           42          0(0.03)       0(0)             0             1       102342        126912            1          93          93
2014-08-27T03:45:35Z         135          93           42          0(0.03)       0(0)             0             1       103140        126912            1          93          93
2014-08-27T03:45:55Z         135          93           42          0(0.03)       0(0)             0             1        87932        126912            1          93          93
2014-08-27T03:46:15Z         135          93           42          0(0.03)       0(0)             0             1        88830        126912            1          93          93
2014-08-27T03:46:35Z         135          93           42          0(0.03)       0(0)             0             1        89645        126912            1          93          93
