           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-09-14T02:38:11Z           0           0            0             0(�)       0(0)             0             0        22743         83008            0          -1           0
2014-09-14T02:38:11Z CRAWL RUNNING - Preparing
2014-09-14T02:38:11Z           1           1            0             0(0)       0(0)             0             0        45671         83008            ∞           1           1
2014-09-14T02:38:11Z CRAWL PAUSED - Paused
2014-09-14T02:38:11Z CRAWL RUNNING - Running
2014-09-14T02:38:31Z         132         124            8         0.4(0.4)       3(3)             0             0        89382        126912            1         120          41
2014-09-14T02:38:51Z         160         146           14        0.3(0.35)       2(2)             0             0        91629        126912            1         142          48
2014-09-14T02:39:11Z         241         220           21       0.35(0.35)      10(5)             0             0        84233        126912            1         216          73
2014-09-14T02:39:31Z         448         421           27        0.3(0.34)      18(8)             0             0        94449        126912            1         417         140
2014-09-14T02:39:51Z         570         537           33        0.3(0.33)      10(9)             0             0       105894        126912            1         533         179
2014-09-14T02:40:11Z         618         579           39        0.3(0.33)       8(9)             0             0        90154        126912            1         575         193
2014-09-14T02:40:31Z         718         673           45        0.3(0.32)      13(9)             0             1       105722        126912            1         669         224
2014-09-14T02:40:51Z         937         885           52       0.35(0.33)     18(10)             0             0       109241        126912            1         881         295
2014-09-14T02:41:11Z        1030         972           58        0.3(0.32)     14(11)             0             0        91586        126912            1         968         324
2014-09-14T02:41:31Z        1237        1173           64        0.3(0.32)     16(11)             0             0       102811        126912            1        1169         391
2014-09-14T02:41:51Z        1480        1410           70        0.3(0.32)     12(11)             0             0        88333        126912            1        1406         470
2014-09-14T02:42:11Z        1653        1577           76        0.3(0.32)     14(12)             0             0       106655        126912            1        1573         525
2014-09-14T02:42:31Z        1759        1676           83       0.35(0.32)     13(12)             0             0       101337        126912            1        1672         558
2014-09-14T02:42:51Z        1878        1789           89        0.3(0.32)     14(12)             0             0        84850        126912            1        1785         596
2014-09-14T02:43:11Z        2081        1986           95        0.3(0.32)     11(12)             0             0       101161        126912            1        1982         662
2014-09-14T02:43:31Z        2390        2289          101        0.3(0.32)     10(12)             0             0        94707        126912            1        2285         763
2014-09-14T02:43:51Z        2421        2313          108       0.35(0.32)      9(12)             0             0        94068        126912            1        2309         771
2014-09-14T02:46:09Z        2428        2319          109       0.01(0.23)       0(8)             0             1        99116        126912            1        2315         773
2014-09-14T02:46:09Z        2428        2319          109          0(0.23)       0(8)             0             1        99126        126912            1        2315         773
2014-09-14T02:46:09Z        2428        2319          109          0(0.23)       0(8)             0             1        99138        126912            1        2315         773
2014-09-14T02:46:09Z        2428        2319          109          0(0.23)       0(8)             0             1        99149        126912            1        2315         773
2014-09-14T02:46:09Z        2428        2319          109          0(0.23)       0(8)             0             1        99160        126912            1        2315         773
2014-09-14T02:46:09Z        2428        2319          109          �(0.23)       0(8)             0             1        99172        126912            1        2315         773
2014-09-14T02:46:11Z        2428        2319          109          0(0.23)       0(8)             0             1        99261        126912            1        2315         773
2014-09-14T02:46:31Z        2428        2319          109          0(0.22)       0(8)             0             1       100607        126912            1        2315         773
2014-09-14T02:46:51Z        2428        2319          109          0(0.21)       0(7)             0             0       101655        126912            1        2315         773
