           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-09-14T08:52:31Z           0           0            0             0(�)       0(0)             0             0        22548         83008            0          -1           0
2014-09-14T08:52:32Z CRAWL RUNNING - Preparing
2014-09-14T08:52:32Z           1           1            0             0(0)       0(0)             0             0        45797         83008            ∞           1           1
2014-09-14T08:52:32Z CRAWL PAUSED - Paused
2014-09-14T08:52:32Z CRAWL RUNNING - Running
2014-09-14T08:52:51Z         132         124            8         0.4(0.4)       3(3)             0             0        91734        126912            1         120          41
2014-09-14T08:53:11Z         183         169           14        0.3(0.35)       5(4)             0             0        87208        126912            1         165          56
2014-09-14T08:53:31Z         323         302           21       0.35(0.35)      10(6)             0             0       102112        126912            1         298         100
2014-09-14T08:53:51Z         630         603           27        0.3(0.34)      12(8)             0             0       111070        126912            1         599         201
2014-09-14T08:54:11Z         804         771           33        0.3(0.33)      11(8)             0             0       107606        126912            1         767         257
2014-09-14T08:54:31Z        1054        1015           39        0.3(0.33)      12(9)             0             0       104942        126912            1        1011         338
2014-09-14T08:54:51Z        1259        1214           45        0.3(0.32)     14(10)             0             0        86970        126912            1        1210         404
2014-09-14T08:55:11Z        1582        1531           51        0.3(0.32)     10(10)             0             0       103472        126912            1        1527         510
2014-09-14T08:55:31Z        1620        1563           57        0.3(0.32)      8(10)             0             0       107374        126912            1        1559         521
2014-09-14T08:55:51Z        1694        1631           63        0.3(0.32)     11(10)             0             0        90248        126912            1        1627         543
2014-09-14T08:56:11Z        1895        1826           69        0.3(0.31)     12(10)             0             1        95498        126912            1        1822         608
2014-09-14T08:56:31Z        2007        1931           76       0.35(0.32)     15(10)             0             0       113106        126912            1        1927         643
2014-09-14T08:56:51Z        2200        2118           82        0.3(0.32)     11(11)             0             0       100699        126912            1        2114         706
2014-09-14T08:57:11Z        2285        2197           88        0.3(0.31)     16(11)             0             0        94586        126912            1        2193         732
2014-09-14T08:57:31Z        2372        2278           94        0.3(0.31)     11(11)             0             0       103950        126912            1        2274         759
2014-09-14T08:57:51Z        2526        2425          101       0.35(0.32)     15(11)             0             0        95339        126912            1        2421         808
2014-09-14T08:58:11Z        2585        2478          107        0.3(0.31)     12(11)             0             0        98670        126912            1        2474         826
2014-09-14T08:58:31Z        2647        2534          113        0.3(0.31)     11(11)             0             0       109809        126912            1        2530         844
2014-09-14T08:58:51Z        2819        2699          120       0.35(0.32)     14(11)             0             0        95954        126912            1        2695         899
2014-09-14T08:59:11Z        2949        2823          126        0.3(0.32)     20(12)             0             0        95851        126912            1        2819         941
2014-09-14T08:59:31Z        3026        2894          132        0.3(0.31)     13(12)             0             0        97789        126912            1        2890         964
2014-09-14T08:59:51Z        3155        3017          138        0.3(0.31)     11(12)             0             0        92882        126912            1        3013        1005
2014-09-14T09:00:11Z        3159        3014          145       0.35(0.32)      8(12)             0             0        90026        126912            1        3010        1004
2014-09-14T09:00:31Z        3325        3174          151        0.3(0.31)      9(11)             0             0       102072        126912            1        3170        1058
2014-09-14T09:00:51Z        3325        3168          157        0.3(0.31)      8(11)             0             0       109197        126912            1        3164        1056
2014-09-14T09:01:11Z        3380        3216          164       0.35(0.32)      9(11)             0             0        96115        126912            1        3212        1072
2014-09-14T09:01:31Z        3442        3272          170        0.3(0.31)      9(11)             0             0       100538        126912            1        3268        1090
2014-09-14T09:01:51Z        3462        3286          176        0.3(0.31)      9(11)             0             0        95986        126912            1        3282        1095
2014-09-14T09:02:11Z        3492        3309          183       0.35(0.32)      9(11)             0             0       108322        126912            1        3305        1103
2014-09-14T09:02:31Z        3639        3450          189        0.3(0.32)     13(11)             0             0       113235        126912            1        3446        1150
2014-09-14T09:02:51Z        3702        3507          195        0.3(0.31)      9(11)             0             0        91275        126912            1        3503        1169
2014-09-14T09:03:11Z        3854        3652          202       0.35(0.32)     14(11)             0             0        99221        126912            1        3648        1217
2014-09-14T09:03:31Z        3911        3703          208        0.3(0.32)      9(11)             0             0       100339        126912            1        3699        1234
2014-09-14T09:03:51Z        4076        3862          214        0.3(0.31)     13(11)             0             0        89102        126912            1        3858        1287
2014-09-14T09:04:11Z        4092        3872          220        0.3(0.31)      7(11)             0             0       102251        126912            1        3868        1290
2014-09-14T09:04:31Z        4236        4009          227       0.35(0.32)     11(11)             0             0        97272        126912            1        4005        1336
2014-09-14T09:04:51Z        4402        4169          233        0.3(0.31)     11(11)             0             0       110770        126912            1        4165        1389
2014-09-14T09:05:11Z        4493        4254          239        0.3(0.31)      9(11)             0             0       111806        126912            1        4250        1418
2014-09-14T09:05:31Z        4509        4264          245        0.3(0.31)     10(11)             0             0        86060        126912            1        4260        1421
2014-09-14T09:05:51Z        4629        4377          252       0.35(0.32)     11(11)             0             0        97090        126912            1        4373        1459
2014-09-14T09:06:11Z        4761        4503          258        0.3(0.31)     12(11)             0             0        96182        126912            1        4499        1501
2014-09-14T09:06:31Z        4841        4577          264        0.3(0.31)     11(11)             0             0       103085        126912            1        4573        1525
2014-09-14T09:06:51Z        4850        4580          270        0.3(0.31)     11(11)             0             0        86869        126912            1        4576        1526
2014-09-14T09:07:11Z        4895        4619          276        0.3(0.31)     12(11)             0             0        95452        126912            1        4615        1539
2014-09-14T09:07:31Z        4905        4622          283       0.35(0.31)     10(11)             0             0       101667        126912            1        4618        1540
2014-09-14T09:07:51Z        4916        4627          289        0.3(0.31)     12(11)             0             0       100089        126912            1        4623        1542
2014-09-14T09:08:11Z        5015        4720          295        0.3(0.31)     10(11)             0             0        90146        126912            1        4716        1573
2014-09-14T09:08:31Z        5107        4806          301        0.3(0.31)     12(11)             0             0        89025        126912            1        4802        1602
2014-09-14T09:08:51Z        5151        4844          307        0.3(0.31)     11(11)             0             0        90723        126912            1        4840        1614
2014-09-14T09:09:11Z        5220        4906          314       0.35(0.31)     13(11)             0             0       107558        126912            1        4902        1635
2014-09-14T09:09:31Z        5220        4904          316        0.1(0.31)      3(11)             0             0        98565        126912            1        4900        1634
2014-09-14T09:09:51Z        5233        4914          319       0.15(0.31)      5(11)             0             0        81493        126912            1        4910        1638
2014-09-14T09:10:11Z        5234        4909          325        0.3(0.31)     10(11)             0             0        89383        126912            1        4905        1636
2014-09-14T09:10:31Z        5261        4930          331        0.3(0.31)      9(11)             0             0        94865        126912            1        4926        1643
